id,name,product,tvl_usd,est_apr_percent,featured,curator,chain,description
ca1ee21a-d8ab-4b4d-a575-7284a5c33803,Usual Boosted USDC,Lending,4948607.59375677,4.091,false,MEV Capital,Ethereum,Morpho USUALUSDC+ vault on Ethereum
7d43d2f9-7f52-477d-83dc-0516226795f4,246Club TelosC Earn USDT0,Vault,30987.63150082,11.6422,false,Telos,Plasma,
e43a35f9-07fe-4be4-9b75-e518d7585a16,3F x Steakhouse USDC,Lending,7235776.5614344,3.3892,false,Steakhouse,Ethereum,Morpho 3F-steakUSDC vault on Ethereum
cb7fa065-b0f9-4df0-b963-b716eddb7497,9Summits Cluster,Lending,818616.712758,9.6374,false,9Summits,Avalanche,A set of Avalanche markets configured by 9 Summits.
93cfce07-c4e5-4cdd-ad4f-3b058fcfec38,9Summits Cluster,Lending,95197.50051776,0,false,9Summits,Avalanche,A set of Avalanche markets configured by 9 Summits.
06967f9a-193f-47b3-a52b-fce9e162b773,9Summits Cluster,Lending,2656683.07091478,0,false,9Summits,Avalanche,A set of Avalanche markets configured by 9 Summits.
eb11d514-7b7f-48e0-8833-c077ccb24e81,9Summits USDC,Vault,679957.10917021,9.6374,false,9Summits,Avalanche,
abaae3b6-1641-4ad3-846e-d1a1c4f9e2f6,Aave V3 Arbitrum AAVE,Lending,1266458.79283691,0,false,Aave,Arbitrum,Lend AAVE on Aave V3 Arbitrum.
ae8f97d4-83a0-4746-819e-9d04ef1792d5,Aave V3 Arbitrum ARB,Lending,4785368.41427993,0.0963,false,Aave,Arbitrum,Lend ARB on Aave V3 Arbitrum.
6c0d4e0c-6f86-4d31-8380-b312ea99cc69,Aave V3 Arbitrum DAI,Lending,3868305.83686361,2.2707,false,Aave,Arbitrum,Lend DAI on Aave V3 Arbitrum.
bf7b6114-6d30-4a5c-902e-c24028f99de5,Aave V3 Arbitrum ezETH,Lending,202054.77606647,0,false,Aave,Arbitrum,Lend ezETH on Aave V3 Arbitrum.
d1065bc0-6963-4040-9b30-162c037915b1,Aave V3 Arbitrum GHO,Lending,1474778.14203757,3.2336,false,Aave,Arbitrum,Lend GHO on Aave V3 Arbitrum.
0917b89d-d0da-4ea0-895e-131ce16ea101,Aave V3 Arbitrum LINK,Lending,4294147.92420768,0.0151,false,Aave,Arbitrum,Lend LINK on Aave V3 Arbitrum.
a5bc0aac-2027-48f1-bb07-15f8e8b15276,Aave V3 Arbitrum MAI,Lending,15423.65080046,0,false,Aave,Arbitrum,Lend MAI on Aave V3 Arbitrum.
8bbdd224-ae9d-4eda-8d7d-0cf431547992,Aave V3 Arbitrum rETH,Lending,2253138.72791608,0.0081,false,Aave,Arbitrum,Lend rETH on Aave V3 Arbitrum.
a3801db3-fa68-4377-b7fd-547bfb1895c9,Aave V3 Arbitrum rsETH,Lending,60179086.84997294,0,false,Aave,Arbitrum,Lend rsETH on Aave V3 Arbitrum.
879a4e34-7862-44ab-843d-ce5fe7f83a5c,Aave V3 Arbitrum tBTC,Lending,2091715.3363397,0,false,Aave,Arbitrum,Lend tBTC on Aave V3 Arbitrum.
4ba18ed0-09af-4d27-beb1-3f2887af36db,Aave V3 Arbitrum USD₮0,Lending,52673506.96845395,3.039,false,Aave,Arbitrum,Lend USD₮0 on Aave V3 Arbitrum.
fda1fe51-e5ae-4a75-8d25-fec195d4f90b,Aave V3 Arbitrum USDC,Lending,166432502.846585,3.1753,false,Aave,Arbitrum,Lend USDC on Aave V3 Arbitrum.
b86babf1-7472-4b7b-b500-99b76eddbfa0,Aave V3 Arbitrum USDC,Lending,1252091.302534,3.6319,false,Aave,Arbitrum,Lend USDC on Aave V3 Arbitrum.
670f2b05-b474-44fc-ad3c-ab0a2eaf8e48,Aave V3 Arbitrum WBTC,Lending,213252410.24970612,0.0479,false,Aave,Arbitrum,Lend WBTC on Aave V3 Arbitrum.
53b51b27-b6d5-461d-83b5-064de8227e3a,Aave V3 Arbitrum weETH,Lending,109110420.26408076,0,false,Aave,Arbitrum,Lend weETH on Aave V3 Arbitrum.
c16e90c1-22e0-4e9c-9cb1-836fa67ec640,Aave V3 Arbitrum WETH,Lending,248163724.81878525,0.7647,false,Aave,Arbitrum,Lend WETH on Aave V3 Arbitrum.
d7edd1c0-ad91-4903-aaf0-a4d2d9784b35,Aave V3 Arbitrum wstETH,Lending,53890798.94839094,0.0003,false,Aave,Arbitrum,Lend wstETH on Aave V3 Arbitrum.
76ca73a8-7c8c-41e9-b209-8fa2468538a4,Aave V3 Avalanche AAVE.e,Lending,168766.30506325,0,false,Aave,Avalanche,Lend AAVE.e on Aave V3 Avalanche.
ebf86138-b35d-4493-ae23-a82c29dce6ce,Aave V3 Avalanche AUSD,Lending,257025.33742857,21.5073,false,Aave,Avalanche,Lend AUSD on Aave V3 Avalanche.
c00233ce-1030-48d2-b3ab-59aa0731225c,Aave V3 Avalanche BTC.b,Lending,134838771.15187752,0.0016,false,Aave,Avalanche,Lend BTC.b on Aave V3 Avalanche.
af6c37a6-9499-4968-ae85-7a3e6e5729bb,Aave V3 Avalanche DAI.e,Lending,3491180.65724193,3.4175,false,Aave,Avalanche,Lend DAI.e on Aave V3 Avalanche.
